17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=10, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=22} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=22, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=16} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=13, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=26} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=5, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=5} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=14} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=19, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:18 - Cannot send message ASK with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
