17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=10, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=20, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=2, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=10, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=10, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=2, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=13, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=29, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=2} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=28} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=7} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=23} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=15} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=18} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=20, 0=0} (Broken pipe)
